conso_id;annee;conso_agri;conso_indu;conso_tert;conso_resi;conso_autre;conso_totale;code_dep
2559;2014;0;119428;19584;0;0;139012;87
2780;2016;0;0;0;0;0;0;87
2810;2017;3621;339066;471384;1141286;187;1955544;87
2879;2017;0;109871;13153;0;0;123024;87
3051;2019;0;1120;1114;7271;0;9505;87
3202;2020;0;0;0;0;0;0;87
3309;2021;0;125442;7166;0;0;132608;87
3323;2021;0;0;0;0;0;0;87
192;2013;4602;915954;398110;1266389;23784;2608839;88
249;2013;0;1194699;12348;0;0;1207047;88
437;2015;0;1001147;11583;0;0;1012730;88
448;2015;0;0;0;310;85;394;88
487;2016;4946;896278;389725;1215990;20071;2527009;88
552;2016;0;1116542;10607;0;0;1127149;88
616;2017;4981;736310;578578;1196835;0;2516705;88
730;2018;31481;781697;679197;904278;31923;2428576;88
853;2019;32355;773375;606756;911392;115737;2439616;88
883;2019;0;14411;6536;23113;0;44060;88
909;2019;0;1033090;8506;0;0;1041596;88
920;2019;0;0;0;471;104;575;88
960;2020;36029;764103;605568;911847;2975;2320523;88
1025;2020;0;936000;6546;0;0;942546;88
1104;2021;116;6631;14051;19083;2827;42710;88
1143;2021;158;0;0;338;47;543;88
1179;2011;3979;973817;380911;1178236;27889;2564833;88
1216;2012;4206;937679;394101;1247632;21771;2605388;88
1257;2012;0;1180447;11468;0;0;1191915;88
1439;2014;0;1083437;11145;0;0;1094582;88
1494;2015;0;11780;10399;19845;1854;43878;88
1594;2016;0;10111;6133;16283;9739;42266;88
1719;2017;0;19219;3962;17016;0;40197;88
1755;2017;0;1108813;9988;0;0;1118801;88
1861;2018;0;1081213;8616;0;0;1089829;88
2136;2021;37682;762127;634172;970267;1999;2406247;88
2496;2014;4531;906120;376438;1148221;24484;2459794;88
2602;2015;4988;893447;387089;1176843;23211;2485578;88
2777;2016;0;0;0;506;86;591;88
2948;2018;0;18841;4624;17906;0;41371;88
3155;2020;0;7584;8301;21967;201;38053;88
3197;2020;0;0;0;449;99;548;88
3310;2021;0;1110689;8415;0;0;1119105;88
193;2013;16717;539244;437613;1304037;961;2298572;89
250;2013;0;4088;384150;0;0;388239;89
319;2014;0;3259;367207;0;0;370466;89
362;2015;18995;533510;419236;1207135;652;2179528;89
488;2016;18375;541664;427355;1259378;6841;2253613;89
617;2017;18958;532330;445394;1221753;448;2218883;89
679;2017;0;1304;356263;0;0;357567;89
799;2018;0;1289;334264;0;0;335553;89
1026;2020;0;1603;239549;0;0;241152;89
1133;2021;0;15;277754;0;0;277769;89
1180;2011;16136;531085;396491;1192999;930;2137642;89
1217;2012;15978;537314;419142;1272215;944;2245593;89
1527;2015;0;1990;368001;0;0;369991;89
1800;2018;58739;496667;630846;940520;38074;2164846;89
1911;2019;42084;577920;561911;947920;34093;2163928;89
1967;2019;0;1462;320761;0;0;322223;89
2361;2012;0;19482;382012;0;0;401494;89
2497;2014;16673;531474;410813;1166142;572;2125673;89
2772;2016;0;1087;358375;0;0;359462;89
3135;2020;42109;540152;560272;948923;1536;2092992;89
3240;2021;42131;587860;577173;1020015;898;2228077;89
194;2013;93;195101;152886;385075;537;733692;90
251;2013;0;33089;0;0;0;33089;90
284;2014;98;200962;142201;352053;469;695784;90
320;2014;0;25358;0;0;0;25358;90
680;2017;0;23441;0;0;0;23441;90
731;2018;3335;210597;206967;280964;15154;717017;90
800;2018;0;20794;0;0;0;20794;90
1027;2020;0;18909;0;0;0;18909;90
1181;2011;45;212828;142605;358029;493;714001;90
1258;2012;0;32248;0;0;0;32248;90
1469;2015;372;206717;146862;358800;491;713243;90
1528;2015;0;23624;0;0;0;23624;90
1572;2016;809;211484;156824;370275;161;739554;90
1638;2016;0;22219;0;0;0;22219;90
1685;2017;1070;201338;171931;364740;0;739080;90
1912;2019;3616;191462;209485;281698;21899;708161;90
2018;2020;4082;173281;204041;284938;1800;668142;90
2137;2021;4130;179910;214104;297197;1138;696479;90
2212;2021;0;20732;0;0;0;20732;90
2311;2012;96;201278;150214;378631;501;730720;90
3089;2019;0;20200;0;0;0;20200;90
285;2014;8930;554530;2167392;3088300;4041;5823192;91
321;2014;0;330022;464357;0;0;794379;91
438;2015;0;330775;491872;0;0;822647;91
489;2016;10007;556387;2273382;3301301;6667;6147744;91
563;2016;516;67443;6323;101363;16428;192073;91
681;2017;0;351967;568247;0;0;920214;91
732;2018;13242;579128;2737650;2535412;161189;6026621;91
854;2019;13622;581722;2711501;2527513;133616;5967973;91
1033;2020;0;0;0;79935;86669;166605;91
1076;2021;10652;658883;2718901;2687159;12948;6088543;91
1296;2013;9158;581299;2288617;3413107;6326;6298508;91
1345;2013;0;325807;562321;0;0;888128;91
1686;2017;11109;571291;2260922;3211671;741;6055734;91
1763;2017;893;70883;13127;97516;6262;188681;91
1862;2018;0;375012;561496;0;0;936509;91
1968;2019;0;391123;543514;0;0;934637;91
2019;2020;14106;585666;2632560;2559503;27008;5818842;91
2086;2020;0;403942;474405;0;0;878347;91
2213;2021;0;501262;523361;0;0;1024623;91
2218;2021;748;65006;18557;87723;4027;176061;91
2253;2011;13630;521484;2179165;3099513;3978;5817771;91
2312;2012;9349;536135;2242920;3311285;4389;6104077;91
2362;2012;0;328135;587021;0;0;915156;91
2603;2015;13000;545922;2264239;3181952;2608;6007720;91
2674;2015;240;70796;3980;99158;20886;195060;91
2773;2016;0;326372;558498;0;0;884871;91
3095;2019;872;72879;12223;112048;5397;203419;91
105;2012;1604;684728;4280985;3823989;30269;8821574;92
195;2013;1746;723653;4397952;3919956;86191;9129499;92
910;2019;0;139639;330862;0;0;470501;92
961;2020;421;815421;4015333;2660534;41391;7533099;92
1134;2021;0;114276;334404;0;0;448680;92
1379;2014;1971;680748;4051904;3573688;20858;8329168;92
1440;2014;0;233131;251754;0;0;484886;92
1529;2015;0;209738;261322;0;0;471061;92
1573;2016;1427;686451;4033760;3743805;67838;8533282;92
1863;2018;0;141653;339226;0;0;480878;92
1913;2019;452;789208;4283320;2629320;218897;7921197;92
2138;2021;247;854841;4153703;2723005;19412;7751208;92
2254;2011;1187;668584;4101004;3631335;82755;8484865;92
2363;2012;0;213984;258149;0;0;472133;92
